region,site,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18
region-0,site-000,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
region-1,site-001,134.2,148.2,161.6,174.1,185.5,195.6,204.1,211.0,216.0,219.0,220.0,219.0,215.9,210.9,204.1,195.5,185.4,174.0
region-2,site-002,148.2,174.1,195.6,211.0,219.0,219.0,210.9,195.5,174.0,148.1,119.9,91.7,65.8,44.3,29.0,21.0,21.0,29.1
region-3,site-003,161.6,195.6,216.0,219.0,204.1,174.0,134.1,91.7,54.4,29.0,20.0,29.1,54.7,92.1,134.5,174.3,204.3,219.0
region-0,site-004,174.1,211.0,219.0,195.5,148.1,91.7,44.3,21.0,29.1,66.1,120.3,174.3,211.1,218.9,195.3,147.8,91.5,44.2
region-1,site-005,185.5,219.0,204.1,148.1,78.3,29.0,24.1,66.1,134.5,195.8,220.0,195.3,133.9,65.6,23.9,29.2,78.9,148.7
region-2,site-006,195.6,219.0,174.0,91.7,29.0,29.1,92.1,174.3,219.0,195.3,119.6,44.2,21.1,66.3,148.7,211.2,210.7,147.6
region-3,site-007,204.1,210.9,134.1,44.3,24.1,92.1,185.7,218.9,161.2,65.6,20.0,66.3,162.0,219.1,185.0,91.2,23.9,44.9
region-0,site-008,211.0,195.5,91.7,21.0,66.1,174.3,218.9,147.8,44.2,29.2,120.5,211.2,195.2,91.2,20.9,66.6,174.7,218.9
region-1,site-009,216.0,174.0,54.4,29.1,134.5,219.0,161.2,44.2,36.1,148.7,220.0,147.6,35.5,44.9,162.2,218.9,133.4,28.7
region-2,site-010,219.0,148.1,29.0,66.1,195.8,195.3,65.6,29.2,148.7,218.9,119.4,20.9,92.5,211.3,173.3,43.8,45.1,174.9
region-3,site-011,220.0,119.9,20.0,120.3,220.0,119.6,20.0,120.5,220.0,119.4,20.0,120.8,220.0,119.1,20.0,121.0,220.0,118.9
region-0,site-012,219.0,91.7,29.1,174.3,195.3,44.2,66.3,211.2,147.6,20.9,120.8,218.9,91.0,29.4,174.9,194.8,43.7,67.0
region-1,site-013,215.9,65.8,54.7,211.1,133.9,21.1,162.0,195.2,35.5,92.5,220.0,91.0,36.4,196.3,160.5,20.9,135.5,210.4
region-2,site-014,210.9,44.3,92.1,218.9,65.6,66.3,219.1,91.2,44.9,211.3,119.1,29.4,196.3,147.1,21.2,175.1,172.9,20.8
region-3,site-015,204.1,29.0,134.5,195.3,23.9,148.7,185.0,20.9,162.2,173.3,20.0,174.9,160.5,21.2,186.5,146.8,24.5,196.6
region-0,site-016,195.5,21.0,174.3,147.8,29.2,211.2,91.2,66.6,218.9,43.8,121.0,194.8,20.9,175.1,146.8,29.7,211.6,90.2
region-1,site-017,185.4,21.0,204.3,91.5,78.9,210.7,23.9,174.7,133.4,45.1,220.0,43.7,135.5,172.9,24.5,211.6,77.0,93.5
region-2,site-018,174.0,29.1,219.0,44.2,148.7,147.6,44.9,218.9,28.7,174.9,118.9,67.0,210.4,20.8,196.6,90.2,93.5,194.3
region-3,site-019,161.4,44.6,215.9,21.0,204.4,65.4,135.0,147.3,55.3,210.5,20.0,211.5,53.4,149.6,132.6,67.4,203.1,21.3
region-0,site-020,148.1,66.1,195.3,29.2,218.9,20.9,211.3,43.8,174.9,90.7,121.3,146.8,67.2,194.5,29.8,218.7,20.8,211.8
region-1,site-021,134.1,92.1,161.2,66.3,185.0,44.9,203.7,29.4,215.6,21.2,220.0,20.8,216.4,28.3,205.1,43.2,187.0,64.1
region-2,site-022,119.9,120.3,119.6,120.5,119.4,120.8,119.1,121.0,118.9,121.3,118.6,121.5,118.4,121.8,118.1,122.0,117.9,122.3
region-3,site-023,105.6,148.4,78.1,174.5,54.0,196.1,35.4,211.4,23.7,219.2,20.0,218.7,24.5,210.2,37.0,194.2,56.2,172.0
region-0,site-024,91.7,174.3,44.2,211.2,20.9,218.9,29.4,194.8,67.0,146.8,121.5,90.2,175.6,43.2,211.8,20.7,218.6,30.1
region-1,site-025,78.3,195.8,23.9,218.9,36.3,173.3,106.8,90.7,186.5,28.4,220.0,29.8,184.1,93.8,103.6,176.0,34.6,219.3
region-2,site-026,65.8,211.1,21.1,195.2,92.5,91.0,196.3,20.9,210.4,67.2,118.4,175.6,28.2,218.7,45.9,145.9,150.6,42.7
region-3,site-027,54.4,219.0,36.1,147.6,162.2,28.7,215.6,67.0,104.4,196.6,20.0,194.3,107.8,64.1,216.6,30.1,159.1,150.8
region-0,site-028,44.3,218.9,66.3,91.2,211.3,29.4,147.1,175.1,20.8,194.5,121.8,43.2,218.7,67.8,89.5,212.0,30.2,145.4
region-1,site-029,35.8,210.8,106.3,44.0,215.7,92.8,53.6,218.8,79.8,64.5,220.0,67.6,76.5,219.3,56.4,89.3,216.7,46.4
region-2,site-030,29.0,195.3,148.7,20.9,173.3,174.9,21.2,146.8,196.6,29.8,118.1,211.8,45.9,89.5,219.3,68.3,63.5,218.5
region-3,site-031,24.0,173.8,185.9,29.3,104.9,219.1,79.6,43.5,203.2,149.9,20.0,146.1,205.4,46.1,76.0,218.5,108.8,27.8
region-0,site-032,21.0,147.8,211.2,66.6,43.8,194.8,175.1,29.7,90.2,218.7,122.0,20.7,145.9,212.0,68.3,42.5,193.5,176.8
region-1,site-033,20.0,119.6,220.0,120.8,20.0,118.9,220.0,121.5,20.0,118.1,220.0,122.3,20.0,117.3,220.0,123.0,20.1,116.6
region-2,site-034,21.0,91.5,210.7,174.7,45.1,43.7,172.9,211.6,93.5,20.8,117.9,218.6,150.6,30.2,63.5,193.5,197.7,68.9
region-3,site-035,24.1,65.6,185.0,211.3,106.8,21.2,77.2,194.5,205.1,93.8,20.0,89.5,202.7,197.4,81.2,20.6,102.4,209.4
region-0,site-036,29.1,44.2,147.6,218.9,174.9,67.0,20.8,90.2,194.3,211.8,122.3,30.1,42.7,145.4,218.5,176.8,68.9,20.6
region-1,site-037,36.0,28.9,105.1,195.0,216.2,149.4,55.6,20.8,76.7,172.3,220.0,176.2,81.0,21.5,52.1,144.9,214.9,198.0
region-2,site-038,44.6,21.0,65.4,147.3,210.5,211.5,149.6,67.4,21.3,43.0,117.6,193.8,219.3,176.6,95.0,30.5,27.6,88.1
region-3,site-039,54.7,21.1,35.5,91.0,160.5,210.4,216.4,175.6,107.8,45.9,20.0,42.7,102.9,171.4,214.9,212.4,165.0,95.7
